time,lat,lon,altitude,accuracy,speed,angle
1697716475464,41.4616317,-8.43325,421.6,1.90,0.000,6.0
1697716476463,41.4616317,-8.43325,421.6,1.90,0.000,6.0
1697716477464,41.4616317,-8.43325,421.6,1.90,0.000,6.0
1697716478483,41.4616317,-8.43325,421.6,1.90,0.000,6.0
1697716479483,41.4616317,-8.43325,421.6,1.90,0.000,6.0
1697716480484,41.4616317,-8.43325,421.6,1.90,0.000,6.0
1697716481483,41.4616317,-8.43325,421.6,1.83,0.000,6.0
1697716482483,41.4616317,-8.43325,421.6,1.83,0.000,6.0
1697716483483,41.4616317,-8.43325,421.6,1.83,0.000,6.0
1697716484503,41.4616317,-8.43325,427.0,4.01,0.000,6.0
1697716485503,41.4616317,-8.43325,427.0,4.01,0.000,6.0
1697716486503,41.4616317,-8.43325,427.0,3.71,0.000,6.0
1697716487503,41.4616317,-8.43325,427.0,3.71,0.000,6.0
1697716488503,41.4616317,-8.43325,427.0,5.33,0.000,6.0
1697716489503,41.4616317,-8.43325,427.0,5.33,0.000,6.0
1697716490543,41.4616317,-8.43325,427.0,5.33,0.000,6.0
1697716491543,41.4616317,-8.43325,427.0,3.46,0.000,6.0
1697716492543,41.4616317,-8.43325,427.0,3.46,0.000,6.0
1697716493543,41.4616317,-8.43325,427.0,3.46,0.000,6.0
1697716494577,41.461716,-8.433279,427.0,1.93,0.008,6.0
1697716495563,41.461716,-8.433279,427.0,1.93,0.008,6.0
1697716497283,41.4617167,-8.43328,427.0,2.30,0.000,6.0
1697716498283,41.4617167,-8.43328,427.0,2.30,0.000,6.0
1697716499283,41.4617167,-8.43328,427.0,2.30,0.000,6.0
1697716500283,41.4617167,-8.43328,427.0,3.96,0.000,6.0
1697716501303,41.4617167,-8.43328,427.0,3.96,0.000,6.0
1697716502303,41.4617167,-8.43328,427.0,3.96,0.000,5.0
1697716503303,41.4617167,-8.43328,427.0,4.05,0.000,5.0
1697716504303,41.4617167,-8.43328,427.0,4.05,0.000,6.0
1697716505303,41.4617167,-8.43328,427.0,4.05,0.000,6.0
1697716506323,41.4617167,-8.43328,427.0,2.20,0.000,6.0
1697716507323,41.4617167,-8.43328,427.0,2.20,0.000,6.0
1697716508323,41.4617167,-8.43328,427.0,2.20,0.000,6.0
1697716509323,41.4617167,-8.43328,427.0,2.12,0.000,5.0
1697716510323,41.4617167,-8.43328,427.0,2.12,0.000,6.0
1697716511323,41.4617167,-8.43328,427.0,2.12,0.000,5.0
1697716512323,41.4617167,-8.43328,427.0,2.32,0.000,6.0
1697716513323,41.4617167,-8.43328,427.0,2.32,0.000,6.0
1697716514324,41.4617167,-8.43328,427.0,2.32,0.000,6.0
1697716515323,41.4617167,-8.43328,427.0,1.85,0.000,6.0
1697716516323,41.4617167,-8.43328,427.0,1.85,0.000,6.0
1697716517324,41.4617167,-8.43328,427.0,1.85,0.000,6.0
1697716518324,41.4617167,-8.43328,435.7,1.82,0.000,6.0
1697716519323,41.4617167,-8.43328,435.7,1.82,0.000,6.0
1697716520323,41.4617167,-8.43328,435.7,1.82,0.000,6.0
1697716521323,41.4617167,-8.43328,427.0,4.03,0.000,6.0
1697716522324,41.4617167,-8.43328,427.0,4.03,0.000,6.0
1697716523323,41.4617167,-8.43328,427.0,4.03,0.000,6.0
1697716524324,41.4617167,-8.43328,427.0,1.82,0.000,6.0
1697716525343,41.4617167,-8.43328,427.0,1.82,0.000,6.0
1697716526343,41.4617167,-8.43328,427.0,1.82,0.000,6.0
1697716527344,41.4617167,-8.43328,427.0,2.25,0.000,6.0
1697716528343,41.4617167,-8.43328,427.0,2.25,0.000,5.0
1697716529343,41.4617167,-8.43328,427.0,2.25,0.000,6.0
1697716530343,41.4617167,-8.43328,427.0,1.90,0.000,6.0
1697716531344,41.4617167,-8.43328,427.0,1.90,0.000,6.0
1697716532363,41.4617167,-8.43328,427.0,1.90,0.000,6.0
1697716533363,41.4617167,-8.43328,427.0,1.90,0.000,6.0
1697716534364,41.4617167,-8.43328,427.0,1.90,0.000,6.0
1697716535363,41.4617167,-8.43328,427.0,1.90,0.000,6.0
1697716536363,41.4617167,-8.43328,427.0,4.03,0.000,6.0
1697716537363,41.4617167,-8.43328,427.0,4.03,0.000,6.0
1697716538363,41.4617167,-8.43328,427.0,4.03,0.000,11.0
1697716539383,41.4617167,-8.43328,427.0,4.48,0.000,6.0
1697716540383,41.4617167,-8.43328,427.0,4.48,0.000,4.0
1697716541564,41.4617167,-8.43328,427.0,4.48,0.000,4.0
1697716542583,41.4616755,-8.4332763,427.0,4.47,0.330,7.0
1697716543584,41.4616755,-8.4332763,427.0,4.47,0.330,3.0
1697716544583,41.4616755,-8.4332763,427.0,4.47,0.330,4.0
1697716545583,41.4616683,-8.433257,427.0,4.36,0.421,5.0
1697716546583,41.4616683,-8.433257,427.0,4.36,0.421,6.0
1697716547604,41.4616683,-8.433257,427.0,4.36,0.421,8.0
1697716548603,41.4616625,-8.4332393,427.0,4.44,0.539,7.0
1697716549603,41.4616625,-8.4332393,427.0,4.44,0.539,9.0
1697716550603,41.4616625,-8.4332393,427.0,4.44,0.539,8.0
1697716551603,41.4616586,-8.4332182,427.0,2.20,0.611,9.0
1697716552604,41.4616586,-8.4332182,427.0,2.20,0.611,7.0
